,var
AC006116.12,0.011787502333789012
AC006116.13,0.03357986360856574
AC006116.14,0.015232451604457813
AC006116.15,0.028176997570404202
AC006116.17,0.05335742523538868
AC006116.19,0.057672843671291635
AC006116.20,0.8305249612838751
AC006116.21,0.036367897820571225
AC006116.22,0.04591729538196325
AC006116.24,0.32111784643387326
AC006116.27,0.9117270983066006
AC006126.3,0.024043505060773462
AC006126.4,0.9637503880216782
AC006128.2,1.1298610899205463
AC006129.1,0.3934845245488791
AC006129.2,1.3174582237026204
AC006129.3,0.12814181223853183
AC006130.1,0.0030056960904494205
AC006130.3,0.007874100688121756
AC006130.4,0.003920326632101685
AC006133.3,0.002058501430682163
AC006133.7,0.0007609445248824083
AC006145.1,0.0
AC006145.4,0.021162328675804466
AC006150.1,0.0017386164180011121
AC006150.2,0.001338510910497138
AC006153.3,0.01170161054868172
AC006156.2,0.0039021129305430837
AC006159.4,0.10154223657927058
AC006159.5,0.006195577419419799
AC006160.5,0.0333084872631328
AC006195.2,0.013308894150664299
AC006196.1,0.0018571194471524604
AC006227.1,0.30083164144065927
AC006262.10,0.07196129156163225
AC006262.11,0.01871385247531993
AC006262.4,0.04039422851440834
AC006262.5,2.2802522574307824
AC006272.1,0.19180963104038787
AC006272.2,0.015627747555081714
AC006273.4,0.05940774894764956
AC006273.5,0.7265973223319401
AC006277.2,0.18346672898314456
AC006277.3,0.14316483812221156
AC006288.1,0.0
AC006296.1,2.6285504864912205e-05
AC006296.2,0.00028604103710808566
AC006322.1,0.000949990216903696
AC006326.3,0.000835649630007208
AC006326.5,0.003993191683922865
AC006328.1,0.0
AC006328.2,0.0
AC006328.3,0.0
AC006328.4,0.001144814756945012
AC006328.9,0.006087054803871016
AC006335.10,7.122021896872736e-06
AC006335.11,2.7546031458466708e-05
AC006335.2,4.0084553434885455e-05
AC006335.6,0.0010336574619883166
AC006355.3,0.0032795970435852517
AC006366.3,0.0008267906344337333
AC006369.2,0.020980953332474423
AC006369.3,0.0002915319010071148
AC006371.1,0.0
AC006372.4,0.0030713875054326975
AC006372.5,0.0053415978882179116
AC006372.6,0.030687809958738738
AC006373.1,0.03925252857190742
AC006377.1,0.0
AC006378.2,0.01991850373769581
AC006380.1,0.0022524728310920946
AC006380.3,0.007979738923870506
AC006386.1,0.10534373328936064
AC006390.4,0.001036174907583023
AC006427.2,0.007194180369722416
AC006445.1,0.0010854942537257043
AC006445.6,0.0018441865427214195
AC006445.7,0.010429137870014602
AC006449.2,3.274119344243436
AC006452.1,0.0
AC006452.2,0.0002537618803712871
AC006458.3,0.0013642150073280303
AC006460.2,0.052110018269276685
AC006461.1,0.0022285747621343483
AC006461.2,0.015215165741397169
AC006466.5,0.31302270882643213
AC006478.1,0.0
AC006480.1,0.012542746076735728
AC006482.1,0.0005815590734422302
AC006483.1,0.47298373524791504
AC006483.5,0.012934993185896198
AC006486.10,0.03890725135720244
AC006486.9,0.2068463415657869
AC006487.1,0.0009270076464729961
AC006499.1,0.0003402040567635059
AC006499.2,0.0005067495029752683
AC006499.3,0.00033472709355514724
AC006499.4,0.0008790848517684811
AC006499.5,0.0006067394349612455
